Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Fort Lowell Arts & Craft Fair Benefitting PACC,https://www.eventbrite.com/e/fort-lowell-arts-craft-fair-benefitting-pacc-tickets-680295330647?aff=ebdssbdestsearch,,"Sat, Nov 4 •  10:00 AM ","Faith Tabernacle Church 5011 East Fort Lowell Road Tucson, AZ 85712",Deana Mooney,N/A,https://www.facebook.com/groups/466984510536659,N/A,N/A
Fort Lowell Arts & Craft Fair Benefitting PACC,https://www.eventbrite.com/e/fort-lowell-arts-craft-fair-benefitting-pacc-tickets-680295330647?aff=ebdssbdestsearch,,N/A,"Faith Tabernacle Church 5011 East Fort Lowell Road Tucson, AZ 85712",Deana Mooney,N/A,https://www.facebook.com/groups/466984510536659,N/A,N/A
Floating World Festival,https://www.eventbrite.com/e/floating-world-festival-tickets-714976171977?aff=ebdssbdestsearch,,Tomorrow • 4:00 PM,"The Screening Room 127 East Congress Street Tucson, AZ 85701",Horsethief Presents,N/A,N/A,N/A,N/A
Floating World Festival,https://www.eventbrite.com/e/floating-world-festival-tickets-714976171977?aff=ebdssbdestsearch,,N/A,"The Screening Room 127 East Congress Street Tucson, AZ 85701",Horsethief Presents,N/A,N/A,N/A,N/A
Anime Wonder Festival 2023,https://www.eventbrite.com/e/anime-wonder-festival-2023-tickets-618114195197?aff=ebdssbdestsearch,,"Sat, Dec 9 •  12:00 PM ","Rillito Park Race Track 4502 N 1st Ave, Tucson Tucson, AZ 85718",Fueled By X,https://Fueledbyx.com,N/A,N/A,N/A
Anime Wonder Festival 2023,https://www.eventbrite.com/e/anime-wonder-festival-2023-tickets-618114195197?aff=ebdssbdestsearch,,N/A,"Rillito Park Race Track 4502 N 1st Ave, Tucson Tucson, AZ 85718",Fueled By X,https://Fueledbyx.com,N/A,N/A,N/A
"Fabulous Art & Crafts Festival on Oracle Plaza,  6346 N Oracle,",https://www.eventbrite.com/e/fabulous-art-crafts-festival-on-oracle-plaza-6346-n-oracle-tickets-649791342397?aff=ebdssbdestsearch,,"Fri, Nov 10 •  10:00 AM ","Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Fabulous Art & Crafts Festival on Oracle Plaza,  6346 N Oracle,",https://www.eventbrite.com/e/fabulous-art-crafts-festival-on-oracle-plaza-6346-n-oracle-tickets-649791342397?aff=ebdssbdestsearch,,N/A,"Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Fabulous Holiday Art & Crafts Festival Oracle Plaza, 6346 N. Oracle, Tucson",https://www.eventbrite.com/e/fabulous-holiday-art-crafts-festival-oracle-plaza-6346-n-oracle-tucson-tickets-649793910077?aff=ebdssbdestsearch,,"Fri, Dec 15 •  10:00 AM ","Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Fabulous Holiday Art & Crafts Festival Oracle Plaza, 6346 N. Oracle, Tucson",https://www.eventbrite.com/e/fabulous-holiday-art-crafts-festival-oracle-plaza-6346-n-oracle-tucson-tickets-649793910077?aff=ebdssbdestsearch,,N/A,"Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
